sport_title,commence_time,home_team,away_team,bookmaker,outcome_name,odds,imp_probability,true_probability
MLB,2024-04-19T22:45:00Z,Washington Nationals,Houston Astros,Hard Rock Bet,Houston Astros,-170, 0.63%, 0.60%
MLB,2024-04-19T22:45:00Z,Washington Nationals,Houston Astros,Hard Rock Bet,Washington Nationals,140, 0.42%, 0.40%
MLB,2024-04-19T18:20:00Z,Chicago Cubs,Miami Marlins,Hard Rock Bet,Chicago Cubs,-180, 0.64%, 0.62%
MLB,2024-04-19T18:20:00Z,Chicago Cubs,Miami Marlins,Hard Rock Bet,Miami Marlins,150, 0.40%, 0.38%
MLB,2024-04-20T00:15:00Z,St. Louis Cardinals,Milwaukee Brewers,Hard Rock Bet,Milwaukee Brewers,-125, 0.56%, 0.53%
MLB,2024-04-20T00:15:00Z,St. Louis Cardinals,Milwaukee Brewers,Hard Rock Bet,St. Louis Cardinals,105, 0.49%, 0.47%
MLB,2024-04-20T02:15:00Z,San Francisco Giants,Arizona Diamondbacks,Hard Rock Bet,Arizona Diamondbacks,110, 0.48%, 0.45%
MLB,2024-04-20T02:15:00Z,San Francisco Giants,Arizona Diamondbacks,Hard Rock Bet,San Francisco Giants,-135, 0.57%, 0.55%
MLB,2024-04-19T22:40:00Z,Philadelphia Phillies,Chicago White Sox,Hard Rock Bet,Chicago White Sox,160, 0.38%, 0.37%
MLB,2024-04-19T22:40:00Z,Philadelphia Phillies,Chicago White Sox,Hard Rock Bet,Philadelphia Phillies,-200, 0.67%, 0.63%
MLB,2024-04-19T23:05:00Z,New York Yankees,Tampa Bay Rays,Hard Rock Bet,New York Yankees,-170, 0.63%, 0.60%
MLB,2024-04-19T23:05:00Z,New York Yankees,Tampa Bay Rays,Hard Rock Bet,Tampa Bay Rays,140, 0.42%, 0.40%
MLB,2024-04-20T00:40:00Z,Colorado Rockies,Seattle Mariners,Hard Rock Bet,Colorado Rockies,115, 0.47%, 0.45%
MLB,2024-04-20T00:40:00Z,Colorado Rockies,Seattle Mariners,Hard Rock Bet,Seattle Mariners,-135, 0.57%, 0.55%
MLB,2024-04-20T02:10:00Z,Los Angeles Dodgers,New York Mets,Hard Rock Bet,Los Angeles Dodgers,-210, 0.68%, 0.64%
MLB,2024-04-20T02:10:00Z,Los Angeles Dodgers,New York Mets,Hard Rock Bet,New York Mets,165, 0.38%, 0.36%
MLB,2024-04-19T23:20:00Z,Atlanta Braves,Texas Rangers,Hard Rock Bet,Atlanta Braves,-210, 0.68%, 0.64%
MLB,2024-04-19T23:20:00Z,Atlanta Braves,Texas Rangers,Hard Rock Bet,Texas Rangers,165, 0.38%, 0.36%
MLB,2024-04-19T22:40:00Z,Pittsburgh Pirates,Boston Red Sox,Hard Rock Bet,Boston Red Sox,-105, 0.51%, 0.49%
MLB,2024-04-19T22:40:00Z,Pittsburgh Pirates,Boston Red Sox,Hard Rock Bet,Pittsburgh Pirates,-115, 0.53%, 0.51%
MLB,2024-04-19T23:10:00Z,Cleveland Guardians,Oakland Athletics,Hard Rock Bet,Cleveland Guardians,-170, 0.63%, 0.60%
MLB,2024-04-19T23:10:00Z,Cleveland Guardians,Oakland Athletics,Hard Rock Bet,Oakland Athletics,140, 0.42%, 0.40%
MLB,2024-04-19T23:40:00Z,Kansas City Royals,Baltimore Orioles,Hard Rock Bet,Baltimore Orioles,-145, 0.59%, 0.57%
MLB,2024-04-19T23:40:00Z,Kansas City Royals,Baltimore Orioles,Hard Rock Bet,Kansas City Royals,120, 0.45%, 0.43%
MLB,2024-04-19T22:40:00Z,Cincinnati Reds,Los Angeles Angels,Hard Rock Bet,Cincinnati Reds,-125, 0.56%, 0.53%
MLB,2024-04-19T22:40:00Z,Cincinnati Reds,Los Angeles Angels,Hard Rock Bet,Los Angeles Angels,105, 0.49%, 0.47%
MLB,2024-04-20T01:40:00Z,San Diego Padres,Toronto Blue Jays,Hard Rock Bet,San Diego Padres,-120, 0.55%, 0.52%
MLB,2024-04-20T01:40:00Z,San Diego Padres,Toronto Blue Jays,Hard Rock Bet,Toronto Blue Jays,100, 0.50%, 0.48%
MLB,2024-04-20T00:10:00Z,Minnesota Twins,Detroit Tigers,Hard Rock Bet,Detroit Tigers,125, 0.44%, 0.43%
MLB,2024-04-20T00:10:00Z,Minnesota Twins,Detroit Tigers,Hard Rock Bet,Minnesota Twins,-150, 0.60%, 0.57%
