,id,commence_time,home_team,away_team,home_score,away_score
0,8ce7ae7579c45b492e6d308da8d328f2,2024-04-28T17:35:00Z,Atlanta Braves,Cleveland Guardians,4,3
1,4b78269d847fc4fb3836ba51821ce900,2024-04-28T17:35:00Z,Baltimore Orioles,Oakland Athletics,6,7
2,a3fa5d7de75c20ca726752de151afdcb,2024-04-28T17:37:00Z,Toronto Blue Jays,Los Angeles Dodgers,3,1
3,f3dd915bb7c53b7b5fcda33481bb2474,2024-04-28T17:40:00Z,Detroit Tigers,Kansas City Royals,4,1
4,a7dd725d6027c0243fdf478964e68755,2024-04-28T17:40:00Z,Miami Marlins,Washington Nationals,9,12
5,8dd791badcbc7164ee41bd454a1a1ae5,2024-04-28T17:40:00Z,New York Mets,St. Louis Cardinals,4,2
6,1b2ec4ace33a165dc62ccc9a9d77a41f,2024-04-28T18:10:00Z,Chicago White Sox,Tampa Bay Rays,4,2
7,56b79cf7bbbbdfda9e9c352917a43b20,2024-04-28T18:10:00Z,Milwaukee Brewers,New York Yankees,5,15
8,b7556134b71ca891e058a3c793334532,2024-04-28T18:35:00Z,Texas Rangers,Cincinnati Reds,4,3
9,22030962895d5172c28c42742a4b5a8d,2024-04-28T20:05:00Z,Colorado Rockies,Houston Astros,2,8
10,bb10ffc230c7f4ce1c6ad6e72551b537,2024-04-28T20:05:00Z,San Francisco Giants,Pittsburgh Pirates,3,2
11,5762775262003c2e5fc263e22450ba44,2024-04-28T20:08:55Z,Los Angeles Angels,Minnesota Twins,5,11
12,78743e6767eda67699e8c8443fedb05d,2024-04-28T20:10:00Z,Seattle Mariners,Arizona Diamondbacks,2,3
13,cc2e43ae2f1eb0a88ada58db941f6bcc,2024-04-28T20:10:00Z,San Diego Padres,Philadelphia Phillies,6,8
14,198012eb6ac4ff5ddbd1a819bdfa12b6,2024-04-28T23:10:00Z,Boston Red Sox,Chicago Cubs,5,4
15,f945b4fc2a3ba9d6f7c4fccca9f1521a,2024-04-29T22:35:00Z,Baltimore Orioles,New York Yankees,2,0
16,3e0dfd7b457d213c20286ff918a63ec6,2024-04-29T22:40:00Z,Miami Marlins,Washington Nationals,2,7
17,dd9fbb5f84720d21755f3fa543fafa7c,2024-04-29T23:07:00Z,Toronto Blue Jays,Kansas City Royals,6,5
18,d97680165fbf4815e396e5676f202d9b,2024-04-29T23:10:55Z,New York Mets,Chicago Cubs,1,3
19,5e5871f137cdb33bf0798bbc1f67d5bc,2024-04-29T23:40:00Z,Chicago White Sox,Minnesota Twins,2,3
20,e1d2fa3966c211146fb82a520214a33f,2024-04-29T23:40:00Z,Milwaukee Brewers,Tampa Bay Rays,0,1
21,57d42400ea5a362a2e96758bae65ae13,2024-04-30T01:38:00Z,Los Angeles Angels,Philadelphia Phillies,6,5
22,8307afe26210b8f7398d9a94e767904a,2024-04-30T01:39:59Z,Arizona Diamondbacks,Los Angeles Dodgers,4,8
23,a927c93ad18150e8e2ac071a11810087,2024-04-30T01:40:00Z,Seattle Mariners,Atlanta Braves,2,1
24,4f6a1311997482f3e7ab21eb4ad3d1fe,2024-04-30T01:40:00Z,San Diego Padres,Cincinnati Reds,2,5
25,438c3e92abced075ef6d39296f95c1e4,2024-04-30T01:40:00Z,Oakland Athletics,Pittsburgh Pirates,5,1
