,id,commence_time,home_team,away_team,home_score,away_score
0,005e11b769d614def43922c7da63a102,2024-04-21T17:34:48Z,Washington Nationals,Houston Astros,6,0
1,1e62aec8bb5950c691bfab4824dc7115,2024-04-21T17:35:00Z,Pittsburgh Pirates,Boston Red Sox,1,6
2,d7ba265f218120f15eb75626bd87cc9a,2024-04-21T17:35:00Z,Philadelphia Phillies,Chicago White Sox,8,2
3,d3a3ad9bfa0d2633352a30113b350a5d,2024-04-21T17:35:00Z,New York Yankees,Tampa Bay Rays,5,4
4,82a1e5569fe474eba3edbcda111add27,2024-04-21T17:40:00Z,Cincinnati Reds,Los Angeles Angels,3,0
5,016626e0b6b6a9eab86a394485545b66,2024-04-21T17:40:00Z,Cleveland Guardians,Oakland Athletics,6,2
6,b89d113e6af3638c682d36d708c824cb,2024-04-21T18:10:00Z,Kansas City Royals,Baltimore Orioles,0,5
7,2855d275ac823f2d811ce0ab3da5e8b7,2024-04-21T18:10:00Z,Minnesota Twins,Detroit Tigers,1,6
8,a8970bdd40cb42e9c3a0a828a8e32dd4,2024-04-21T18:15:00Z,St. Louis Cardinals,Milwaukee Brewers,0,2
9,cb12d3fff35442a57b31e5f56d7448ad,2024-04-21T18:20:00Z,Chicago Cubs,Miami Marlins,3,6
10,45a810f68872da847d6b3becad32aa3f,2024-04-21T19:10:00Z,Colorado Rockies,Seattle Mariners,2,1
11,21b6ed063f694db4e7cdecc8f7ad806d,2024-04-21T20:05:55Z,San Francisco Giants,Arizona Diamondbacks,3,5
12,38fd2f47517ea3e9ba12544a5a8eabb6,2024-04-21T20:10:00Z,Los Angeles Dodgers,New York Mets,10,0
13,00a4851de5882e01389107b7318fb307,2024-04-21T20:10:00Z,San Diego Padres,Toronto Blue Jays,6,3
14,46bad84e66e5c51d6b5d8e4b54a07fc7,2024-04-21T23:10:00Z,Atlanta Braves,Texas Rangers,4,6
15,ccbf2c9c4a3bd010e78958e6aacb76f6,2024-04-22T00:10:00Z,Colorado Rockies,Seattle Mariners,2,10
16,d6f47a21c9a0980edc331f403821b96a,2024-04-22T17:05:00Z,New York Yankees,Oakland Athletics,0,2
17,2b8730a2d062752e6b2fc0c67138e37d,2024-04-22T22:40:00Z,Cincinnati Reds,Philadelphia Phillies,0,7
18,e67813c1e1cee34d067e4bd168615313,2024-04-22T22:40:00Z,Pittsburgh Pirates,Milwaukee Brewers,4,2
19,afb3c8409b38fe4c9e7be0cec5a6cae2,2024-04-22T22:50:00Z,Tampa Bay Rays,Detroit Tigers,1,7
20,ac089948df92d146990c70eedd0dbaaa,2024-04-22T23:20:00Z,Atlanta Braves,Miami Marlins,3,0
21,2d531c1fa87707b86d27b5efc87e1bdf,2024-04-22T23:40:00Z,Minnesota Twins,Chicago White Sox,7,0
22,f8d7d00bfbe5c13ca697bb696e880969,2024-04-22T23:40:00Z,Kansas City Royals,Toronto Blue Jays,3,5
23,e1eafb8d9e5ab04c0a6e852a3ad72c3f,2024-04-22T23:45:00Z,St. Louis Cardinals,Arizona Diamondbacks,5,3
24,cdd1a83d7c15ce5c3d79aebd65c8f3f4,2024-04-23T00:40:00Z,Colorado Rockies,San Diego Padres,1,3
25,77141ed74209c93101d7a84f30dbb721,2024-04-23T01:38:00Z,Los Angeles Angels,Baltimore Orioles,2,4
26,df6d58d2d972646454db7798a9eed23a,2024-04-23T01:45:00Z,San Francisco Giants,New York Mets,5,2
